,index,route_id,status,timestamp,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,route_length,ego_vehicle,carla_version,scenario,completion_score,driving_score,infraction_penalty,npc_vehicles,pedestrians,simulation_time,system_time,infraction_name
23,35,RouteScenario_35,Completed,route_35_route0_02_08_22_01_34,0,0,0,0,0,0,0,0,0,60.92792055053716,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,28.8500004298985,235.26396131515503,none
24,24,RouteScenario_24,Completed,route_24_route0_02_08_20_17_53,0,0,0,0,0,0,0,0,0,55.24653262480497,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,24.850000370293856,144.33233976364136,none
25,5,RouteScenario_5,Completed,route_5_route0_02_08_23_59_29,0,0,0,0,0,0,0,0,0,55.59823106089415,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,28.700000427663326,208.4685251712799,none
26,25,RouteScenario_25,Completed,route_25_route0_02_08_20_26_46,0,0,0,0,0,0,0,0,0,60.903067475394465,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,48.95000072941184,375.9205276966095,none
27,12,RouteScenario_12,Completed,route_12_route0_02_08_18_23_28,0,0,0,0,0,0,0,0,0,60.69758307301105,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,43.150000642985106,269.8802797794342,none
28,19,RouteScenario_19,Completed,route_19_route0_02_08_19_36_25,0,0,0,0,0,0,0,0,0,55.94493792555948,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,27.750000413507223,218.82724690437317,none
29,2,RouteScenario_2,Completed,route_2_route0_02_08_21_19_00,0,0,0,0,0,0,0,0,0,61.09374739316211,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,25.600000381469727,211.4040870666504,none
30,33,RouteScenario_33,Completed,route_33_route0_02_08_21_45_27,0,0,0,0,0,0,0,0,0,60.92802203945554,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,48.300000719726086,312.41440987586975,none
31,7,RouteScenario_7,Completed,route_7_route0_02_09_00_18_40,0,0,0,0,0,0,0,0,0,60.41447692826555,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,25.850000385195017,256.81611680984497,none
32,45,RouteScenario_45,Completed,route_45_route0_02_08_23_30_07,0,0,0,0,0,0,0,0,0,61.067938290835365,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,43.700000651180744,370.579687833786,none
33,28,RouteScenario_28,Completed,route_28_route0_02_08_20_57_54,0,0,0,0,0,0,0,0,0,61.26539929186665,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,28.700000427663326,200.44035124778748,none
34,46,RouteScenario_46,Completed,route_46_route0_02_08_23_38_50,0,0,0,0,0,0,0,0,0,54.914477604823574,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,38.05000056698918,294.81639885902405,none
35,30,RouteScenario_30,Completed,route_30_route0_02_08_21_27_00,0,0,0,0,0,0,0,0,0,55.9272196240984,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,27.05000040307641,181.75200629234314,none
36,17,RouteScenario_17,Completed,route_17_route0_02_08_19_07_31,0,0,0,0,0,0,0,0,0,55.25090884695793,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,54.65000081434846,595.2362515926361,none
37,18,RouteScenario_18,Completed,route_18_route0_02_08_19_27_44,0,0,0,0,0,0,0,0,0,61.59830038671384,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,40.050000596791506,279.9044260978699,none
38,34,RouteScenario_34,Completed,route_34_route0_02_08_21_54_26,0,0,0,0,0,0,0,0,0,55.2693469423156,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,15.900000236928463,174.77581143379211,none
39,11,RouteScenario_11,Completed,route_11_route0_02_08_18_13_49,0,0,0,0,0,0,0,0,0,60.901017691577785,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,29.40000043809414,243.93604111671448,none
40,13,RouteScenario_13,Completed,route_13_route0_02_08_18_37_01,0,0,0,0,0,0,0,0,0,55.04141645760018,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,23.300000347197056,232.88823986053467,none
41,4,RouteScenario_4,Completed,route_4_route0_02_08_23_53_27,0,0,0,0,0,0,0,0,0,54.75607184336737,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,17.450000260025263,142.34372067451477,none
42,6,RouteScenario_6,Completed,route_6_route0_02_09_00_08_44,0,0,0,0,0,0,0,0,0,61.25325971366519,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,43.35000064596534,298.51218485832214,none
43,16,RouteScenario_16,Completed,route_16_route0_02_08_19_00_27,0,0,0,0,0,0,0,0,0,60.91089740578979,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,34.85000051930547,197.35120844841003,none
44,23,RouteScenario_23,Completed,route_23_route0_02_08_20_12_17,0,0,0,0,0,0,0,0,0,55.1791221263788,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,26.50000039488077,174.62026238441467,none
45,42,RouteScenario_42,Completed,route_42_route0_02_08_23_00_39,0,0,0,0,0,0,0,0,0,56.026662986577875,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,25.25000037625432,179.9719774723053,none
46,8,RouteScenario_8,Completed,route_8_route0_02_09_00_27_44,0,0,0,0,0,0,0,0,0,61.75131111908178,vehicle.bmw.isetta,10,4,100.0,100.0,1.0,120,0,39.00000058114529,260.9719750881195,none
