,level_0,index,route_id,status,timestamp,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,scenario,route_length,ego_vehicle,carla_version,completion_score,driving_score,infraction_penalty,npc_vehicles,pedestrians,simulation_time,system_time,infraction_name
92,92,28,RouteScenario_8_28,Completed,route_28_route0_02_09_04_14_28,0,0,0,0,0,0,0,0,0,8,61.59830038671384,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,21.35000031813979,138.9842460155487,none
93,93,30,RouteScenario_8_30,Completed,route_30_route0_02_09_04_26_48,0,0,0,0,0,0,0,0,0,8,61.16392023319401,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,27.450000409036875,157.65623474121094,none
94,95,34,RouteScenario_8_34,Completed,route_34_route0_02_09_04_35_43,0,0,0,0,0,0,0,0,0,8,60.83781726315381,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,25.80000038444996,201.3281421661377,none
95,105,37,RouteScenario_8_37,Completed,route_37_route0_02_09_04_46_19,0,0,0,0,0,0,0,0,0,8,60.90306747539447,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,48.50000072270632,495.2013397216797,none
96,99,39,RouteScenario_8_39,Completed,route_39_route0_02_09_04_58_51,0,0,0,0,0,0,0,0,0,8,60.85623744415566,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,25.100000374019142,198.72418904304504,none
97,97,4,RouteScenario_8_4,Completed,route_4_route0_02_09_05_29_47,0,0,0,0,0,0,0,0,0,8,61.09374739316211,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,24.75000036880374,202.78003811836243,none
98,84,44,RouteScenario_8_44,Completed,route_44_route0_02_09_05_05_44,0,0,0,0,0,0,0,0,0,8,61.26539929186665,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,28.200000420212746,313.26833486557007,none
99,91,45,RouteScenario_8_45,Completed,route_45_route0_02_09_05_15_09,0,0,0,0,0,0,0,0,0,8,61.58523811688995,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,21.65000032261014,175.0680513381958,none
100,88,49,RouteScenario_8_49,Completed,route_49_route0_02_09_05_21_27,0,0,0,0,0,0,0,0,0,8,60.92802203945554,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,30.15000044927001,255.6162075996399,none
101,106,51,RouteScenario_8_51,Completed,route_51_route0_02_09_05_36_19,0,0,0,0,0,0,0,0,0,8,60.92792055053716,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,27.950000416487452,164.48420238494873,none
102,107,54,RouteScenario_8_54,Completed,route_54_route0_02_09_05_42_26,0,0,0,0,0,0,0,0,0,8,61.00178018503786,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,24.8000003695488,125.8124647140503,none
103,86,58,RouteScenario_8_58,Completed,route_58_route0_02_09_05_49_08,0,0,0,0,0,0,0,0,0,8,61.94757622419835,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,38.800000578165054,358.243310213089,none
104,103,61,RouteScenario_8_61,Completed,route_61_route0_02_09_05_58_49,0,0,0,0,0,0,0,0,0,8,61.367142631099526,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,28.000000417232517,265.6121003627777,none
105,104,63,RouteScenario_8_63,Completed,route_63_route0_02_09_06_37_05,0,0,0,0,0,0,0,0,0,8,61.68555879782448,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,21.35000031813979,168.58779764175415,none
106,98,67,RouteScenario_8_67,Completed,route_67_route0_02_09_06_50_51,0,0,0,0,0,0,0,0,0,8,61.067938290835365,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,37.90000056475401,300.84821343421936,none
107,100,71,RouteScenario_8_71,Completed,route_71_route0_02_09_06_59_10,0,0,0,0,0,0,0,0,0,8,60.57136272504224,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,27.05000040307641,179.94816184043884,none
108,122,13,RouteScenario_9_13,Completed,route_13_route0_02_09_07_04_42,0,0,0,0,0,0,0,0,0,9,56.094386897300026,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,18.900000281631947,123.98454189300536,none
109,126,14,RouteScenario_9_14,Completed,route_14_route0_02_09_07_10_17,0,0,0,0,0,0,0,0,0,9,55.2446401601069,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,19.95000029727817,167.4600145816803,none
110,119,19,RouteScenario_9_19,Completed,route_19_route0_02_09_07_16_17,0,0,0,0,0,0,0,0,0,9,55.04141645760018,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,51.1500007621944,421.3724007606506,none
111,128,21,RouteScenario_9_21,Completed,route_21_route0_02_09_07_26_54,0,0,0,0,0,0,0,0,0,9,55.295861513545525,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,20.500000305473804,188.5801856517792,none
112,118,25,RouteScenario_9_25,Completed,route_25_route0_02_09_07_33_25,0,0,0,0,0,0,0,0,0,9,55.25090884695793,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,20.10000029951334,144.54430079460144,none
113,110,29,RouteScenario_9_29,Completed,route_29_route0_02_09_07_37_57,0,0,0,0,0,0,0,0,0,9,55.94493792555948,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,19.85000029578805,118.68399691581726,none
114,127,3,RouteScenario_9_3,Completed,route_3_route0_02_09_08_08_11,0,0,0,0,0,0,0,0,0,9,55.41616043336074,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,22.350000333040956,192.61223149299624,none
115,125,31,RouteScenario_9_31,Completed,route_31_route0_02_09_07_42_57,0,0,0,0,0,0,0,0,0,9,55.507802941520346,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,21.450000319629908,139.12257361412048,none
116,115,35,RouteScenario_9_35,Completed,route_35_route0_02_09_07_49_32,0,0,0,0,0,0,0,0,0,9,55.1791221263788,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,26.50000039488077,138.32819199562073,none
