,Unnamed: 0,route_id,status,basename,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,total_steps,score_composed,score_penalty,score_route,infraction
76,76,RouteScenario_76,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,234.0500034876168,924.9937608242036,44.18144665181526,4680,98.9540580287876,1.0,98.9540580287876,route_timeout
77,77,RouteScenario_77,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,185.05000275745988,732.6431691646576,30.31612559092024,3700,17.38323163362062,1.0,17.38323163362062,route_timeout
78,78,RouteScenario_78,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,74.05000110343099,285.3095660209656,82.52403395916362,1480,95.39362544691988,1.0,95.39362544691988,route_timeout
79,79,RouteScenario_79,Completed,results_TCP,0,0,0,0,0,0,0,0,0,47.050000701099634,187.80930542945865,220.05331647310825,940,100.0,1.0,100.0,False
80,80,RouteScenario_80,Completed,results_TCP,0,0,0,0,0,0,0,0,0,72.80000108480453,289.1977632045746,135.56536383854268,1455,100.0,1.0,100.0,False
81,81,RouteScenario_81,Failed,results_TCP,0,0,0,0,1,0,0,0,0,178.65000266209245,809.6578884124756,227.06584469435467,3572,60.67987859848918,0.7,86.68554085498455,red_light
82,82,RouteScenario_82,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,78.05000116303563,261.60990858078003,92.66999869677429,1560,95.6421333966366,1.0,95.6421333966366,route_timeout
83,83,RouteScenario_83,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,126.05000187829135,505.768224477768,153.7799770326952,2520,98.03004885044172,1.0,98.03004885044172,route_timeout
84,84,RouteScenario_84,Completed,results_TCP,0,0,0,0,0,0,0,0,0,82.70000123232603,342.619588136673,136.68384612986242,1653,100.0,1.0,100.0,False
85,85,RouteScenario_85,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,47.050000701099634,169.77675366401672,56.77745733053168,940,94.4240108495868,1.0,94.4240108495868,route_timeout
86,86,RouteScenario_86,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,144.05000214651227,585.3459088802338,140.29320998810496,2880,81.60695033339611,1.0,81.60695033339611,route_timeout
87,87,RouteScenario_87,Failed,results_TCP,1,0,0,0,0,0,0,0,0,19.450000289827585,68.34061741828918,130.61080761316128,388,13.990694172681506,0.65,21.52414488104847,collisions_layout
88,88,RouteScenario_88,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,226.0500033684075,908.0544319152832,109.97205490190288,4520,97.18791847378674,1.0,97.18791847378674,route_timeout
89,89,RouteScenario_89,Completed,results_TCP,0,0,0,0,0,0,0,0,0,119.55000178143382,512.9447913169861,190.57421685215644,2390,100.0,1.0,100.0,False
90,90,RouteScenario_90,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,210.0500031299889,779.3764274120331,212.0514713791468,4200,98.54780324029366,1.0,98.54780324029366,route_timeout
91,91,RouteScenario_91,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,55.05000082030893,201.6383600234985,50.13066670904022,1100,96.8550729366911,1.0,96.8550729366911,route_timeout
92,92,RouteScenario_92,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,187.0500027872622,727.7781834602356,9.903743135627703,3740,98.4442162677959,1.0,98.4442162677959,route_timeout
93,93,RouteScenario_93,Failed,results_TCP,0,0,1,0,0,0,0,0,0,0.1000000014901161,0.393284797668457,147.88777250643483,1,0.0,0.6,0.0,collisions_vehicle
94,94,RouteScenario_94,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,149.05000222101808,590.968671798706,132.45084750914103,2980,98.89076641371044,1.0,98.89076641371044,route_timeout
95,95,RouteScenario_95,Completed,results_TCP,0,0,0,0,0,0,0,0,0,37.35000055655837,148.79405188560486,175.46213915057518,746,100.0,1.0,100.0,False
96,96,RouteScenario_96,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,163.05000242963433,651.9597508907318,146.50222051911055,3260,95.6065145354293,1.0,95.6065145354293,route_timeout
