,Unnamed: 0,route_id,status,id,cloudiness,precipitation,precipitation_deposits,wind_intensity,sun_azimuth_angle,sun_altitude_angle,fog_density,fog_distance,fog_falloff,wetness,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,score_composed,score_penalty,score_route,ego_vehicle
19,19,RouteScenario_19,Completed,WetNight,20.0,0.0,50.0,0.35,225.0,-80.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,53.85000080242753,692.319342136383,77.26589929384768,100.0,1.0,100.0,vehicle.lincoln.mkz2017
20,20,RouteScenario_20,Failed - Agent timed out,WetCloudyNoon,90.0,0.0,50.0,0.35,180.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,172.05000256374478,2012.872038602829,154.22773630668453,42.696916507927256,1.0,42.696916507927256,vehicle.lincoln.mkz2017
21,21,RouteScenario_21,Completed,SoftRainSunset,90.0,15.0,50.0,0.35,270.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,98.55000146850945,1110.2540385723114,245.14782311563644,100.0,1.0,100.0,vehicle.lincoln.mkz2017
22,22,RouteScenario_22,Completed,HardRainNoon,90.0,60.0,100.0,1.0,90.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,91.70000136643648,1082.6528406143186,192.36569012746082,100.0,1.0,100.0,vehicle.lincoln.mkz2017
23,23,RouteScenario_23,Completed,HardRainNight,90.0,60.0,100.0,1.0,225.0,-80.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,112.6500016786158,1305.199402809143,159.83405030843176,100.0,1.0,100.0,vehicle.lincoln.mkz2017
24,24,RouteScenario_24,Failed,SoftRainNight,90.0,15.0,50.0,0.35,270.0,-80.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1.80000002682209,21.871466636657715,147.97621366078394,0.0,0.7,0.0,vehicle.lincoln.mkz2017
25,25,RouteScenario_25,Completed,MidRainSunset,80.0,30.0,50.0,0.4,270.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,55.05000082030893,661.5836164951323,97.41958226021404,100.0,1.0,100.0,vehicle.lincoln.mkz2017
26,26,RouteScenario_26,Completed,WetCloudyNight,90.0,0.0,50.0,0.35,225.0,-80.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,54.250000808388,645.4507777690887,69.96409608455757,100.0,1.0,100.0,vehicle.lincoln.mkz2017
27,27,RouteScenario_27,Failed,SoftRainNight,90.0,15.0,50.0,0.35,270.0,-80.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,45.80000068247318,532.1528172492981,82.7731237397857,16.385020071592788,0.6,27.30836678598798,vehicle.lincoln.mkz2017
28,28,RouteScenario_28,Completed,WetCloudyNight,90.0,0.0,50.0,0.35,225.0,-80.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,109.10000162571669,1357.2484002113342,215.67133460039676,100.0,1.0,100.0,vehicle.lincoln.mkz2017
