,Unnamed: 0,route_id,status,id,cloudiness,precipitation,precipitation_deposits,wind_intensity,sun_azimuth_angle,sun_altitude_angle,fog_density,fog_distance,fog_falloff,wetness,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,score_composed,score_penalty,score_route,ego_vehicle
19,19,RouteScenario_19,Failed - Agent timed out,WetNight,20.0,0.0,50.0,0.35,225.0,-80.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,88.05000131204723,1142.6648514270782,77.26589929384768,93.33988182741388,1.0,93.33988182741388,vehicle.bmw.isetta
20,20,RouteScenario_20,Failed - Agent timed out,WetCloudyNoon,90.0,0.0,50.0,0.35,180.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,172.05000256374478,2017.5211148262024,154.22773630668453,90.46818951497823,1.0,90.46818951497823,vehicle.bmw.isetta
21,21,RouteScenario_21,Completed,SoftRainSunset,90.0,15.0,50.0,0.35,270.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,99.60000148415564,1127.2971248626711,245.14782311563644,100.0,1.0,100.0,vehicle.bmw.isetta
22,22,RouteScenario_22,Failed - Agent timed out,HardRainNoon,90.0,60.0,100.0,1.0,90.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,219.0500032640994,2688.8739023208623,192.36569012746082,27.58726769832584,1.0,27.58726769832584,vehicle.bmw.isetta
23,23,RouteScenario_23,Completed,HardRainNight,90.0,60.0,100.0,1.0,225.0,-80.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,115.55000172182919,1328.2814271450045,159.83405030843176,100.0,1.0,100.0,vehicle.bmw.isetta
24,24,RouteScenario_24,Failed,SoftRainNight,90.0,15.0,50.0,0.35,270.0,-80.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.05000000074505806,1.1469709873199463,147.97621366078394,0.0,0.7,0.0,vehicle.bmw.isetta
25,25,RouteScenario_25,Completed,MidRainSunset,80.0,30.0,50.0,0.4,270.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,54.80000081658363,659.0107741355896,97.41958226021404,100.0,1.0,100.0,vehicle.bmw.isetta
26,26,RouteScenario_26,Completed,WetCloudyNight,90.0,0.0,50.0,0.35,225.0,-80.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,53.30000079423189,627.4951288700104,69.96409608455757,100.0,1.0,100.0,vehicle.bmw.isetta
27,27,RouteScenario_27,Failed,SoftRainNight,90.0,15.0,50.0,0.35,270.0,-80.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1.80000002682209,20.601773262023926,82.7731237397857,0.0,0.7,0.0,vehicle.bmw.isetta
28,28,RouteScenario_28,Completed,WetCloudyNight,90.0,0.0,50.0,0.35,225.0,-80.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,107.20000159740448,1313.79013133049,215.67133460039676,100.0,1.0,100.0,vehicle.bmw.isetta
