,route_id,status,town,basename,cloudiness,fog_density,fog_distance,fog_falloff,precipitation,precipitation_deposits,sun_altitude_angle,sun_azimuth_angle,wetness,wind_intensity,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,ego_vehicle,ego_vehicle_color,ego_vehicle_number_of_wheels,ego_vehicle_object_type,ego_vehicle_role_name,ego_vehicle_sticky_control,number_of_drivers,number_of_walkers,percentage_speed_limit,route_length,total_steps,score_composed,score_penalty,score_route,ego_vehicle_driver_id,infraction
168,RouteScenario_168,Failed - Agent timed out,Town01,data,80,0,0,0,0,0,-80,45,0,0.349999994039536,0,0,0,0,0,0,1,0,0,115.050001714379,393.616847991943,vehicle.audi.etron,"(253,26,110)",4,,hero,True,83,89,69,105.841175004267,2298,96.5940863709252,1,96.5940863709252,,route_timeout
169,RouteScenario_169,Failed - Agent timed out,Town01,data,20,0,0,0,0,50,15,270,0,0.349999994039536,0,0,0,0,0,0,1,0,0,119.050001773983,410.952268600464,vehicle.yamaha.yzf,"(1,138,149)",2,,hero,True,173,145,52,106.085237015553,2378,47.8794167108881,1,47.8794167108881,0,route_timeout
170,RouteScenario_170,Completed,Town01,data,90,0,0,0,0,50,15,0,0,0.349999994039536,0,0,0,0,0,0,0,0,0,28.9500004313886,95.9715101718903,vehicle.audi.etron,"(147,97,53)",4,,hero,True,135,103,64,133.999669219452,576,100,1,100,,False
171,RouteScenario_171,Completed,Town01,data,90,0,0,0,0,50,75,180,0,0.349999994039536,0,0,0,0,0,0,0,0,0,111.300001658499,393.568604469299,vehicle.citroen.c3,"(251,199,112)",4,,hero,True,180,72,74,188.622170817274,2223,100,1,100,,False
172,RouteScenario_172,Failed - Agent timed out,Town01,data,80,0,0,0,30,50,75,0,0,0.400000005960465,0,0,0,0,0,0,1,0,0,64.0500009544194,218.105543613434,vehicle.bh.crossbike,"(25,198,17)",2,,hero,True,109,116,78,56.728049238316,1278,72.9414409202005,1,72.9414409202005,2,route_timeout
173,RouteScenario_173,Failed - Agent timed out,Town01,data,80,0,0,0,0,0,15,270,0,0.349999994039536,0,0,0,0,0,0,1,0,0,48.0500007160008,141.539038419724,vehicle.dodge_charger.police,"(136,21,22)",4,,hero,True,86,67,63,55.9993321265714,958,92.6087026522202,1,92.6087026522202,,route_timeout
174,RouteScenario_174,Failed - Agent timed out,Town01,data,80,0,0,0,0,0,-80,45,0,0.349999994039536,0,0,0,0,0,0,1,0,0,95.0500014163554,400.287960767746,vehicle.audi.a2,"(148,3,71)",4,,hero,True,88,130,72,77.744740124334,1898,97.2251638977506,1,97.2251638977506,,route_timeout
175,RouteScenario_175,Failed - Agent timed out,Town01,data,20,0,0,0,0,50,15,270,0,0.349999994039536,0,0,0,1,0,0,1,0,0,185.05000275746,661.762028455734,vehicle.diamondback.century,"(166,130,14)",2,,hero,True,146,62,84,201.475223256883,3698,8.09942595484405,0.797208531990093,10.1597331561734,4,route_timeout
176,RouteScenario_176,Completed,Town01,data,80,0,0,0,30,50,75,0,0,0.400000005960465,0,0,0,0,0,0,0,0,0,147.200002193451,549.165265798569,vehicle.audi.tt,"(156,37,4)",4,,hero,True,138,100,65,57.9158288337434,2941,100,1,100,,False
177,RouteScenario_177,Completed,Town01,data,90,0,0,0,60,100,-80,225,0,1,0,0,0,0,0,0,0,0,0,140.550002094358,523.166679382324,vehicle.citroen.c3,"(54,146,103)",4,,hero,True,170,83,70,233.505986398905,2808,100,1,100,,False
178,RouteScenario_178,Failed - Agent timed out,Town01,data,90,0,0,0,15,50,75,315,0,0.349999994039536,0,0,0,0,0,0,1,0,0,146.050002176315,483.552043199539,vehicle.diamondback.century,"(236,133,139)",2,,hero,True,109,63,99,136.380786402101,2918,6.27434958603334,1,6.27434958603334,4,route_timeout
179,RouteScenario_179,Completed,Town01,data,80,0,0,0,0,0,-80,45,0,0.349999994039536,0,0,0,0,0,0,0,0,0,116.700001738966,442.393562316895,vehicle.audi.tt,"(62,196,139)",4,,hero,True,94,122,104,64.8444328893938,2331,100,1,100,,False
180,RouteScenario_180,Failed - Agent timed out,Town01,data,80,0,0,0,30,50,75,0,0,0.400000005960465,0,0,0,0,0,0,1,0,0,177.050002638251,692.147181272507,vehicle.nissan.micra,"(70,7,167)",4,,hero,True,126,110,87,147.482001951711,3538,98.349827531132,1,98.349827531132,,route_timeout
181,RouteScenario_181,Failed,Town01,data,90,0,0,0,15,50,-80,270,0,0.349999994039536,0,0,0,0,1,0,0,0,0,9.85000014677644,30.8413319587707,vehicle.jeep.wrangler_rubicon,"(109,120,67)",4,,hero,True,184,73,99,217.518929470552,194,0.366026238328972,0.7,0.522894626184246,,red_light
182,RouteScenario_182,Failed - Agent timed out,Town01,data,80,0,0,0,0,0,75,45,0,0.349999994039536,0,0,0,0,0,0,1,0,0,218.050003249198,863.206278800964,vehicle.nissan.micra,"(253,246,160)",4,,hero,True,170,136,91,190.816406972756,4358,54.4098556591939,1,54.4098556591939,,route_timeout
183,RouteScenario_183,Failed - Agent timed out,Town01,data,90,0,0,0,0,50,75,180,0,0.349999994039536,0,0,0,0,0,0,1,0,0,209.050003115088,664.935277700424,vehicle.dodge_charger.police,"(225,115,133)",4,,hero,True,124,120,65,254.106071315946,4178,97.5556546862758,1,97.5556546862758,,route_timeout
184,RouteScenario_184,Failed - Agent timed out,Town01,data,90,0,0,0,15,50,-80,270,0,0.349999994039536,0,0,0,0,0,0,1,0,0,168.05000250414,662.681167840958,vehicle.audi.tt,"(176,216,69)",4,,hero,True,194,152,102,165.261797998712,3358,94.269061814435,1,94.269061814435,,route_timeout
185,RouteScenario_185,Failed,Town01,data,15,0,0,0,0,0,75,0,0,0.349999994039536,0,0,0,0,1,0,0,0,0,127.250001896173,443.942022323608,vehicle.chevrolet.impala,"(236,21,62)",4,,hero,True,132,89,84,149.996010641079,2542,45.2339797856816,0.7,64.6199711224024,,red_light
186,RouteScenario_186,Failed,Town01,data,90,0,0,0,60,100,-80,225,0,1,0,1,0,0,0,0,0,0,0,6.15000009164214,22.006635427475,vehicle.nissan.patrol,"(20,129,174)",4,,hero,True,183,128,89,71.5099465282835,120,10.1381874853432,0.5,20.2763749706865,,collisions_pedestrian
187,RouteScenario_187,Failed,Town01,data,15,0,0,0,0,0,75,0,0,0.349999994039536,0,0,1,0,0,0,0,0,0,28.3500004224479,84.6101865768433,vehicle.bmw.isetta,"(13,18,254)",4,,hero,True,91,86,96,135.461553818519,564,14.4202299154844,0.6,24.0337165258073,,collisions_vehicle
188,RouteScenario_188,Completed,Town01,data,90,0,0,0,15,50,-80,270,0,0.349999994039536,0,0,0,0,0,0,0,0,0,77.50000115484,330.041066169739,vehicle.audi.tt,"(130,148,106)",4,,hero,True,177,104,97,156.796898251632,1547,100,1,100,,False
189,RouteScenario_189,Completed,Town01,data,90,0,0,0,15,50,75,315,0,0.349999994039536,0,0,0,0,0,0,0,0,0,31.1000004634261,103.720484495163,vehicle.audi.etron,"(169,4,26)",4,,hero,True,152,67,60,83.1345032817826,619,100,1,100,,False
190,RouteScenario_190,Completed,Town01,data,90,0,0,0,0,50,15,0,0,0.349999994039536,0,0,0,0,0,0,0,0,0,115.350001718849,420.800612211227,vehicle.dodge_charger.police,"(4,245,131)",4,,hero,True,175,116,58,114.626670969867,2304,100,1,100,,False
