,Unnamed: 0,route_id,status,cloudiness,precipitation,precipitation_deposits,wind_intensity,sun_azimuth_angle,sun_altitude_angle,fog_density,fog_distance,fog_falloff,wetness,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,score_composed,score_penalty,score_route,ego_vehicle,infraction
177,16,RouteScenario_16,Completed,80,30,50,0.400000005960465,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,202.55000301823,502.959417581558,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
178,17,RouteScenario_17,Completed,80,30,50,0.400000005960465,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,185.600002765656,485.565048456192,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
179,18,RouteScenario_18,Completed,80,30,50,0.400000005960465,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,254.800003796816,646.372416734695,141.421355900135,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
180,19,RouteScenario_19,Completed,80,30,50,0.400000005960465,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,611.550009112805,1563.01435899734,141.421357586009,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
181,20,RouteScenario_20,Completed,80,30,50,0.400000005960465,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,255.100003801286,660.187830448151,141.421357586009,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
182,21,RouteScenario_21,Completed,80,30,50,0.400000005960465,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,239.250003565103,601.25065779686,141.42135488861,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
183,22,RouteScenario_22,Completed,80,30,50,0.400000005960465,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,525.850007835776,1351.89534044266,141.421357586009,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
184,0,RouteScenario_0,Completed,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,226.550003375858,543.764502286911,141.421350842513,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
185,1,RouteScenario_1,Completed,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,139.200002074242,331.505628824234,141.421356574484,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
186,2,RouteScenario_2,Completed,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,139.200002074242,328.561138153076,141.421356574484,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
187,3,RouteScenario_3,Completed,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,180.400002688169,428.69860959053,141.421350842513,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
188,4,RouteScenario_4,Completed,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,98.6500014699996,232.422002792358,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
189,5,RouteScenario_5,Failed - Agent timed out,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,892.050013292581,2091.72568702698,141.42135623731,62.9267758649379,1.0,62.9267758649379,vehicle.lincoln.mkz2017,False
190,6,RouteScenario_6,Completed,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,98.6500014699996,232.872754573822,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
191,7,RouteScenario_7,Completed,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,248.250003699213,590.775058031082,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
192,8,RouteScenario_8,Completed,80,0,0,0.349999994039536,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,233.500003479421,556.692705869675,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
